"H, A/m","Upper B, T","Lower B, T"
-1988.959779195584,-0.49014196824621803,-0.49014301714824
-1988.879777595552,-0.4901415757002296,-0.4901426322655393
-1988.79977599552,-0.49014118312312926,-0.4901422473526333
-1988.719774395488,-0.4901407905149134,-0.4901418624095185
-1988.6397727954559,-0.4901403978755783,-0.4901414774361914
-1988.559771195424,-0.4901400052051202,-0.49014109243264836
-1988.4797695953919,-0.49013961250353544,-0.4901407073988858
-1988.39976799536,-0.4901392197708203,-0.49014032233490024
-1988.3197663953279,-0.49013882700697115,-0.49013993724068805
-1988.239764795296,-0.4901384342119842,-0.4901395521162457
-1988.1597631952638,-0.4901380413858558,-0.49013916696156967
-1988.079761595232,-0.4901376485285822,-0.4901387817766564
-1987.9997599951998,-0.4901372556401598,-0.4901383965615022
-1987.919758395168,-0.49013686272058477,-0.49013801131610363
-1987.8397567951358,-0.4901364697698535,-0.49013762604045713
-1987.759755195104,-0.49013607678796217,-0.49013724073455905
-1987.6797535950718,-0.4901356837749072,-0.49013685539840596
-1987.59975199504,-0.49013529073068474,-0.4901364700319942
-1987.5197503950078,-0.4901348976552912,-0.49013608463532016
-1987.439748794976,-0.4901345045487229,-0.4901356992083804
-1987.3597471949438,-0.49013411141097607,-0.4901353137511713
-1987.279745594912,-0.49013371824204693,-0.49013492826368926
-1987.19974399488,-0.4901333250419319,-0.49013454274593077
-1987.119742394848,-0.4901329318106272,-0.4901341571978922
-1987.039740794816,-0.4901325385481291,-0.49013377161957006
-1986.9597391947839,-0.490132145254434,-0.49013338601096074
-1986.879737594752,-0.490131751929538,-0.49013300037206065
-1986.7997359947199,-0.49013135857343754,-0.49013261470286623
-1986.719734394688,-0.49013096518612886,-0.49013222900337394
-1986.6397327946559,-0.49013057176760827,-0.49013184327358017
-1986.559731194624,-0.490130178317872,-0.4901314575134814
-1986.4797295945918,-0.4901297848369164,-0.490131071723074
-1986.39972799456,-0.49012939132473765,-0.4901306859023545
-1986.3197263945278,-0.4901289977813322,-0.4901303000513192
-1986.239724794496,-0.49012860420669613,-0.4901299141699646
-1986.1597231944638,-0.4901282106008259,-0.4901295282582871
-1986.079721594432,-0.49012781696371766,-0.4901291423162831
-1985.9997199943998,-0.4901274232953678,-0.4901287563439491
-1985.919718394368,-0.49012702959577253,-0.4901283703412815
-1985.8397167943358,-0.49012663586492816,-0.49012798430827664
-1985.759715194304,-0.49012624210283096,-0.490127598244931
-1985.6797135942718,-0.4901258483094772,-0.4901272121512411
-1985.59971199424,-0.49012545448486317,-0.49012682602720326
-1985.5197103942078,-0.49012506062898514,-0.49012643987281385
-1985.4397087941759,-0.4901246667418394,-0.49012605368806944
-1985.359707194144,-0.49012427282342225,-0.4901256674729663
-1985.2797055941119,-0.4901238788737299,-0.490125281227501
-1985.19970399408,-0.49012348489275864,-0.4901248949516698
-1985.1197023940479,-0.49012309088050476,-0.49012450864546925
-1985.039700794016,-0.4901226968369646,-0.4901241223088957
-1984.9596991939839,-0.4901223027621343,-0.4901237359419455
-1984.879697593952,-0.49012190865601024,-0.4901233495446153
-1984.7996959939198,-0.49012151451858865,-0.4901229631169013
-1984.719694393888,-0.4901211203498658,-0.49012257665879994
-1984.6396927938558,-0.49012072614983804,-0.4901221901703077
-1984.559691193824,-0.49012033191850146,-0.490121803651421
-1984.4796895937918,-0.4901199376558525,-0.49012141710213625
-1984.39968799376,-0.4901195433618874,-0.4901210305224498
-1984.3196863937278,-0.4901191490366023,-0.49012064391235816
-1984.239684793696,-0.49011875467999366,-0.4901202572718576
-1984.1596831936638,-0.49011836029205763,-0.4901198706009447
-1984.079681593632,-0.4901179658727905,-0.49011948389961574
-1983.9996799935998,-0.4901175714221885,-0.4901190971678672
-1983.919678393568,-0.4901171769402479,-0.4901187104056955
-1983.8396767935358,-0.4901167824269651,-0.490118323613097
-1983.7596751935039,-0.4901163878823362,-0.49011793679006815
-1983.6796735934718,-0.4901159933063575,-0.4901175499366053
-1983.5996719934399,-0.4901155986990254,-0.4901171630527049
-1983.519670393408,-0.490115204060336,-0.4901167761383634
-1983.4396687933759,-0.49011480939028557,-0.49011638919357714
-1983.359667193344,-0.4901144146888704,-0.49011600221834256
-1983.2796655933118,-0.49011401995608683,-0.49011561521265606
-1983.19966399328,-0.490113625191931,-0.49011522817651404
-1983.1196623932478,-0.4901132303963993,-0.49011484110991294
-1983.039660793216,-0.49011283556948787,-0.4901144540128491
-1982.9596591931838,-0.49011244071119303,-0.49011406688531894
-1982.879657593152,-0.490112045821511,-0.4901136797273189
-1982.7996559931198,-0.49011165090043807,-0.49011329253884534
-1982.719654393088,-0.4901112559479705,-0.4901129053198947
-1982.6396527930558,-0.4901108609641045,-0.49011251807046335
-1982.559651193024,-0.4901104659488364,-0.4901121307905477
-1982.4796495929918,-0.4901100709021624,-0.4901117434801442
-1982.39964799296,-0.49010967582407877,-0.49011135613924917
-1982.3196463929278,-0.49010928071458176,-0.49011096876785903
-1982.239644792896,-0.4901088855736676,-0.4901105813659702
-1982.1596431928638,-0.4901084904013326,-0.4901101939335791
-1982.0796415928319,-0.490108095197573,-0.4901098064706821
-1981.9996399927998,-0.49010769996238496,-0.49010941897727556
-1981.9196383927679,-0.49010730469576486,-0.4901090314533559
-1981.8396367927357,-0.49010690939770885,-0.49010864389891956
-1981.7596351927039,-0.49010651406821326,-0.4901082563139629
-1981.679633592672,-0.4901061187072743,-0.4901078686984823
-1981.5996319926398,-0.4901057233148882,-0.49010748105247415
-1981.519630392608,-0.49010532789105127,-0.49010709337593494
-1981.4396287925758,-0.49010493243575964,-0.49010670566886094
-1981.359627192544,-0.4901045369490097,-0.4901063179312486
-1981.2796255925118,-0.4901041414307976,-0.4901059301630943
-1981.19962399248,-0.4901037458811196,-0.4901055423643944
-1981.1196223924478,-0.490103350299972,-0.49010515453514536
-1981.039620792416,-0.49010295468735093,-0.4901047666753435
-1980.9596191923838,-0.4901025590432528,-0.49010437878498525
-1980.879617592352,-0.4901021633676737,-0.49010399086406703
-1980.7996159923198,-0.4901017676606099,-0.49010360291258515
-1980.719614392288,-0.4901013719220577,-0.49010321493053605
-1980.6396127922558,-0.49010097615201337,-0.4901028269179161
-1980.5596111922239,-0.49010058035047305,-0.4901024388747217
-1980.4796095921918,-0.49010018451743304,-0.4901020508009492
-1980.3996079921599,-0.49009978865288956,-0.49010166269659505
-1980.3196063921278,-0.49009939275683884,-0.4901012745616556
-1980.2396047920959,-0.49009899682927716,-0.4901008863961272
-1980.1596031920637,-0.4900986008702007,-0.4901004982000063
-1980.0796015920318,-0.49009820487960576,-0.49010010997328923
-1979.9995999919997,-0.4900978088574885,-0.4900997217159724
-1979.9195983919678,-0.4900974128038452,-0.4900993334280522
-1979.839596791936,-0.4900970167186722,-0.49009894510952495
-1979.7595951919038,-0.4900966206019655,-0.4900985567603871
-1979.679593591872,-0.49009622445372153,-0.490098168380635
-1979.5995919918398,-0.49009582827393644,-0.49009777997026505
-1979.519590391808,-0.4900954320626065,-0.4900973915292736
-1979.4395887917758,-0.49009503581972785,-0.4900970030576571
-1979.359587191744,-0.49009463954529686,-0.4900966145554118
-1979.2795855917118,-0.4900942432393097,-0.49009622602253416
-1979.19958399168,-0.4900938469017626,-0.4900958374590206
-1979.1195823916478,-0.49009345053265174,-0.4900954488648674
-1979.039580791616,-0.49009305413197346,-0.490095060240071
-1978.9595791915838,-0.4900926576997239,-0.4900946715846277
-1978.8795775915519,-0.4900922612358993,-0.49009428289853396
-1978.7995759915198,-0.4900918647404959,-0.49009389418178617
-1978.7195743914879,-0.4900914682135099,-0.4900935054343806
-1978.6395727914557,-0.49009107165493754,-0.4900931166563137
-1978.5595711914239,-0.4900906750647751,-0.49009272784758184
-1978.4795695913917,-0.4900902784430188,-0.49009233900818133
-1978.3995679913598,-0.4900898817896648,-0.49009195013810863
-1978.3195663913277,-0.4900894851047093,-0.49009156123736003
-1978.2395647912958,-0.49008908838814863,-0.49009117230593197
-1978.1595631912637,-0.4900886916399789,-0.4900907833438207
-1978.0795615912318,-0.49008829486019645,-0.4900903943510228
-1977.9995599912,-0.49008789804879743,-0.49009000532753444
-1977.9195583911678,-0.4900875012057781,-0.49008961627335207
-1977.839556791136,-0.4900871043311346,-0.49008922718847203
-1977.7595551911038,-0.49008670742486327,-0.4900888380728907
-1977.679553591072,-0.49008631048696016,-0.4900884489266045
-1977.5995519910398,-0.49008591351742165,-0.49008805974960973
-1977.519550391008,-0.49008551651624394,-0.4900876705419028
-1977.4395487909758,-0.49008511948342315,-0.49008728130347995
-1977.3595471909439,-0.49008472241895557,-0.4900868920343377
-1977.2795455909118,-0.49008432532283736,-0.49008650273447235
-1977.1995439908799,-0.4900839281950648,-0.49008611340388025
-1977.1195423908478,-0.4900835310356341,-0.4900857240425578
-1977.0395407908159,-0.49008313384454144,-0.49008533465050136
-1976.9595391907837,-0.49008273662178303,-0.4900849452277072
-1976.8795375907519,-0.4900823393673551,-0.4900845557741718
-1976.7995359907197,-0.4900819420812539,-0.49008416628989143
-1976.7195343906878,-0.4900815447634756,-0.49008377677486253
-1976.6395327906557,-0.49008114741401637,-0.4900833872290814
-1976.5595311906238,-0.4900807500328725,-0.49008299765254437
-1976.4795295905917,-0.4900803526200401,-0.4900826080452479
-1976.3995279905598,-0.49007995517551556,-0.4900822184071883
-1976.3195263905277,-0.4900795576992949,-0.49008182873836187
-1976.2395247904958,-0.49007916019137443,-0.49008143903876505
-1976.159523190464,-0.4900787626517503,-0.49008104930839413
-1976.0795215904318,-0.49007836508041874,-0.4900806595472455
-1975.9995199904,-0.49007796747737603,-0.4900802697553155
-1975.9195183903678,-0.49007756984261824,-0.4900798799326005
-1975.839516790336,-0.49007717217614166,-0.4900794900790968
-1975.7595151903038,-0.4900767744779425,-0.49007910019480083
-1975.6795135902719,-0.49007637674801696,-0.4900787102797089
-1975.5995119902398,-0.4900759789863612,-0.4900783203338174
-1975.5195103902079,-0.49007558119297145,-0.49007793035712255
-1975.4395087901758,-0.4900751833678439,-0.49007754034962087
-1975.3595071901439,-0.4900747855109748,-0.49007715031130866
-1975.2795055901117,-0.4900743876223603,-0.49007676024218216
-1975.1995039900798,-0.49007398970199656,-0.49007637014223787
-1975.1195023900477,-0.49007359174987986,-0.49007598001147207
-1975.0395007900158,-0.4900731937660064,-0.4900755898498811
-1974.9594991899837,-0.4900727957503723,-0.49007519965746127
-1974.8794975899518,-0.4900723977029739,-0.490074809434209
-1974.7994959899197,-0.49007199962380726,-0.4900744191801206
-1974.7194943898878,-0.4900716015128686,-0.49007402889519247
-1974.6394927898557,-0.49007120337015414,-0.4900736385794209
-1974.5594911898238,-0.4900708051956601,-0.4900732482328022
-1974.4794895897917,-0.49007040698938265,-0.4900728578553327
-1974.3994879897598,-0.490070008751318,-0.4900724674470089
-1974.319486389728,-0.4900696104814623,-0.49007207700782696
-1974.2394847896958,-0.49006921217981175,-0.4900716865377833
-1974.159483189664,-0.49006881384636264,-0.4900712960368743
-1974.0794815896318,-0.490068415481111,-0.49007090550509624
-1973.9994799895999,-0.4900680170840532,-0.49007051494244547
-1973.9194783895678,-0.4900676186551852,-0.49007012434891833
-1973.8394767895359,-0.49006722019450344,-0.4900697337245112
-1973.7594751895037,-0.490066821702004,-0.49006934306922034
-1973.6794735894719,-0.490066423177683,-0.49006895238304216
-1973.5994719894397,-0.49006602462153676,-0.49006856166597296
