"H, A/m","B, T"
-24.354354354354356,-0.16194293746013405
-24.294294294294296,-0.16163091778885674
-24.234234234234236,-0.16131832141490063
-24.174174174174176,-0.16100514669689084
-24.114114114114116,-0.16069139198708782
-24.054054054054056,-0.16037705563135604
-23.993993993993996,-0.16006213596913227
-23.933933933933936,-0.1597466313333938
-23.873873873873876,-0.15943054005062668
-23.813813813813816,-0.1591138604407934
-23.753753753753756,-0.15879659081730063
-23.693693693693692,-0.15847872948696662
-23.633633633633632,-0.1581602747499886
-23.573573573573572,-0.1578412248999097
-23.513513513513512,-0.15752157822358603
-23.453453453453452,-0.1572013330011531
-23.393393393393392,-0.15688048750599248
-23.333333333333332,-0.1565590400046979
-23.273273273273272,-0.15623698875704164
-23.213213213213212,-0.15591433201594002
-23.153153153153152,-0.15559106802741918
-23.093093093093092,-0.15526719503058065
-23.033033033033032,-0.15494271125756645
-22.972972972972972,-0.154617614933524
-22.912912912912912,-0.15429190427657127
-22.852852852852852,-0.15396557749776102
-22.792792792792792,-0.1536386328010453
-22.73273273273273,-0.15331106838323968
-22.67267267267267,-0.1529828824339871
-22.61261261261261,-0.15265407313572155
-22.55255255255255,-0.1523246386636316
-22.49249249249249,-0.15199457718562379
-22.43243243243243,-0.1516638868622854
-22.37237237237237,-0.15133256584684746
-22.31231231231231,-0.15100061228514733
-22.25225225225225,-0.1506680243155909
-22.19219219219219,-0.15033480006911482
-22.13213213213213,-0.15000093766914838
-22.07207207207207,-0.14966643523157513
-22.01201201201201,-0.14933129086469432
-21.95195195195195,-0.14899550266918193
-21.89189189189189,-0.14865906873805174
-21.83183183183183,-0.14832198715661604
-21.77177177177177,-0.14798425600244577
-21.71171171171171,-0.14764587334533122
-21.65165165165165,-0.14730683724724133
-21.59159159159159,-0.1469671457622841
-21.53153153153153,-0.14662679693666525
-21.47147147147147,-0.14628578880864812
-21.41141141141141,-0.14594411940851196
-21.35135135135135,-0.1456017867585112
-21.29129129129129,-0.1452587888728333
-21.23123123123123,-0.1449151237575573
-21.17117117117117,-0.1445707894106115
